X,Y,objectid,osm_id,fclass,name,subdistrict,district,state,country
77.0751749,8.325157101,171,8987498155,Fire Station,"Fair and rescue Station, Poovar",Neyyattinkara,Thiruvananthapuram,Kerala,India
76.3488146,9.4972282,172,9060927690,Fire Station,District Fire Office,Ambalappuzha,Alappuzha,Kerala,India
76.5207882,9.5876822,173,9060927688,Fire Station,Office of District Fire Officer,Kottayam,Kottayam,Kerala,India
76.5207874,9.5876536,174,9060927689,Fire Station,Regional Fire Office,Kottayam,Kottayam,Kerala,India
76.2955552,9.9743614,175,9058337997,Fire Station,District Fire and Rescue Office Kadavanthra,Kanayannur,Ernakulam,Kerala,India
76.3520539,9.9358139,176,9381658867,Fire Station,"Fire and rescue station ,Tripunithra",Kanayannur,Ernakulam,Kerala,India
76.8520208,9.2292881,177,9287373633,Fire Station,FIRE STATION KONNI,Konni,Pathanamthitta,Kerala,India
76.2168719,10.5175017,178,9058337974,Fire Station,District Fire and Rescue Office Thrissur,Thrissur,Thrissur,Kerala,India
76.2053543,10.2396298,179,9289451217,Fire Station,Fire station,Kodungallur,Thrissur,Kerala,India
76.213234,10.3612647,180,9331656119,Fire Station,Irinjalakuda fire station,Mukundapuram,Thrissur,Kerala,India
76.3741099,10.1782505,181,9285630419,Fire Station,Kerala fire and rescue station,Aluva,Ernakulam,Kerala,India
76.234507,10.1492169,182,9298333288,Fire Station,"Fire Station, North Paravur",Paravur,Ernakulam,Kerala,India
76.6591177,10.7598967,183,9058337948,Fire Station,"Regional Fire Office, Fire and Rescue Services, Palakkad",Palakkad,Palakkad,Kerala,India
76.6591183,10.7598248,184,9058337949,Fire Station,District Fire Office.Palakkad,Palakkad,Palakkad,Kerala,India
76.4787225,10.8661043,185,9331495523,Fire Station,"Fire Station, Peringod",Palakkad,Palakkad,Kerala,India
75.7993013,11.2145327,186,9057816794,Fire Station,REGIONAL FIRE OFFICE,Kozhikode,Kozhikode,Kerala,India
77.5240625,13.6023877,187,8919834459,Fire Station,Gauribidanur Fire Station,Gauribidanur,Chikkaballapura,Karnataka,India
77.7082814,13.6727892,188,8919834460,Fire Station,Gudibanda Fire Station,Gudibanda,Chikkaballapura,Karnataka,India
72.9984708,19.0764046,189,1122048181,Fire Station,Vashi Fire Station,Thane,Thane,Maharashtra,India
73.0406036,19.0244273,190,1648288786,Fire Station, ,Thane,Thane,Maharashtra,India
